cell_subtype_key,cell_subtype,cell_type,cell_type_code,cell_type_label,cell_type1,cell_type2,
BA,Basophil,basophil,BA,0,basophils,basophils,FALSE
EO,Eosinophil,eosinophil,EO,1,eosinophils,eosinophils,FALSE
ERB,Erythroblast,erythroblast,ER,2,erythroblasts,erythroblasts,FALSE
IG,Immature granulocyte,ig,IG,3,"immature granulocytes (metamyelocytes, myelocytes and promyelocytes)",immature granulocytes,FALSE
MMY,Metamyelocyte,ig,IG,3,"immature granulocytes (metamyelocytes, myelocytes and promyelocytes)",immature granulocytes,FALSE
MY,Myelocyte,ig,IG,3,"immature granulocytes (metamyelocytes, myelocytes and promyelocytes)",immature granulocytes,FALSE
PMY,Promyelocyte,ig,IG,3,"immature granulocytes (metamyelocytes, myelocytes and promyelocytes)",immature granulocytes,FALSE
LY,Lymphocyte,lymphocyte,LY,4,lymphocytes,lymphocytes,FALSE
MO,Monocyte,monocyte,MO,5,monocytes,monocytes,FALSE
BNE,Band neutrophils,neutrophil,NE,6,neutrophils,neutrophils,FALSE
NEUTROPHIL,Neutrophil,neutrophil,NE,6,neutrophils,neutrophils,FALSE
SNE,Segmented neutrophils,neutrophil,NE,6,neutrophils,neutrophils,FALSE
PLATELET,Platelets (thrombocytes),platelet,PL,7,platelets (thrombocytes),thrombocytes,FALSE
